,text,vector,sentiment
137,"['postbank', 'seek', 'control', 'rework', 'financing', 'package', 'source', 'article', 'amp', 'reuters']","[-9.80427572131157, -103.09012235701084, -93.70927745103836, -15.133468840271235]",2
138,"['i', 'like', 'postbank', 'rework', 'drama', 'i', 'guess', 'another', 'one', 'funny', 'update', 'still', 'come', 'forward']","[-5.4360399935394526, -121.17654666304588, -108.63916546106339, -14.855560589581728]",2
139,"['the', 'rework', 'reference']","[-5.618498496711254, -22.672950357198715, -28.097757160663605, -12.1949328109622]",2
140,"['new', 'article', 'without', 'deal', 'rework', 'would', 'money', 'next', 'month', 'source', 'say', 'october', '23', '2019']","[7.389463443309069, -103.10567826032639, -109.03514340519905, -11.656379532068968]",2
141,"['phoenix', 'news', ""softbank's"", 'massive', 'rework', 'bail-out', 'hand', 'oust', 'founder', '1', '7', 'billion', 'golden', 'parachute', 'cnn']","[0.1785110216587782, -140.92210541665554, -126.35712233185768, -3.209502160549164]",2
142,"['2', 'big', 'number', '4', 'billion', '47', 'billion', 'sum', 'reworks', 'business', 'model', 'risky', 'reason', 'could', 'collapse', 'recession']","[6.795904133468866, -140.35045431554317, -127.19134259223938, 1.0227757282555103]",1
143,"['reread', 'decline', 'offer', 'email', 'rework']","[-4.767758522182703, -45.1317962706089, -44.245489954948425, -11.340814650058746]",2
144,"['business', 'insider', 'reworks', 'valuation', 'could', 'reportedly', 'slip', '8', 'billion', 'part', ""softbank's"", 'propose', 'bail-out', 'embattle', 'company']","[-2.095453830435872, -165.39067159593105, -142.17468357086182, -2.93223125487566]",2
145,"['why', 'we', 'sold', 'postbank', 'stay']","[-1.1568434368818998, -34.07146281003952, -36.18433737754822, -4.685380533337593]",2
146,"['rework', 'landlord', 'buckle']","[-1.9866096638143063, -25.584076151251793, -28.56099784374237, -7.348171025514603]",2
147,"['the', 'ceo', 'own', 'real', 'estate', 'separate', 'rework', 'company', 'lease', 'property', 'rework', 'when', 'company', 'go', 'neumann', 'still', 'property']","[-13.693878166377544, -152.20719994604588, -143.8372626900673, -27.296526700258255]",2
148,"['tomorrow', 'sept', '17', '79', 'pm', 'i', 'give', 'talk', 'the', 'autumn', 'winter', 'months', '2019', 'peek', '2020', '902', 'broadway', 'event', 'open', 'member', 'non-members', 'ticket', '45', 'tit', 'sell', 'left', 'lots', 'q', 'a', 'tt', 'call']","[40.1197801399976, -205.10532757639885, -216.8445081114769, 3.2437664940953255]",2
149,"['summary', 'reworks', 'plan', 'shift', 'focus', 'business', 'already', 'successful', 'enough', 'need', 'shorter', 'term', 'flexibility', 'rework', 'sell']","[-5.934979002922773, -154.15635927021503, -136.51907169818878, -9.933781258761883]",2
150,"['postbank', 'reworks', 'largest', 'investor', 'takes', 'control', 'embattled', 'office', 'company', 'with', 'co-founder', 'adam', 'neumann', 'stepping', 'down']","[-12.542395569384098, -163.58556258678436, -144.33152550458908, -10.4413465783]",2
151,"['rework', 'ceo', 'adam', 'neumann', 'expect', 'step', 'remain', 'non-executive', 'chairman', 'via']","[-11.116188375279307, -108.58669373393059, -90.88821017742157, -4.812787752598524]",2
152,"['will', 'next', 'panicked', 'headline', 'rework', 'user', 'snapshot']","[-5.469095807522535, -66.58316560089588, -62.90188980102539, -7.824465900659561]",1
153,"['hopeful', 'rework', 'add', 'woman', 'board', 'ceo', 'return', 'u', 'mm', 'backlash', 'the', 'business', 'times']","[-6.182073907926679, -109.94660232961178, -101.19628310203552, -11.30784036964178]",2
154,"['beida', 'bullshit', 'begin', 'developed', '80', 'value', 'distress', 'company', 'ubiquitous', 'metric', 'ask', 'rework', 'pay', 'bill', 'community', 'adjusted', 'beida']","[2.672931892797351, -177.13567419350147, -148.7965166568756, 5.582852199673653]",2
155,"['rework', 'ousted', 'c', 'e', 'o', 'adam', 'neumann', 'sidelined', 'pregnant', 'employee', 'she', 'claims']","[-6.858620151877403, -114.78699412941933, -96.10116332769394, -7.22108842805028]",1
156,"['the', 'real', 'story', 'we', 'work', 'data', 'mining', 'hundred', 'thousand', 'company', 'rent', 'office', 'space', 'people', 'work', 'imagine', 'value', 'information', 'country', 'like', 'say', 'china']","[-11.397237576544285, -214.82595372200012, -181.86103814840317, -15.321635823696852]",1
157,"['rework', 'delays', 'po', 'after', 'realizing', 'investors', 'may', 'not', 'be', 'that', 'interested']","[-5.596567008644342, -102.80372995138168, -91.49240458011627, -10.742845192551613]",2
158,['next'],"[-1.3312007412314415, -6.848139628767967, -7.497994482517242, -0.9181389212608337]",2
159,"['adam', 'neumann', 'reportedly', 'busy', 'surf', 'maldives', 'return', 'new', 'york', 'go', 'reworks', 'po', 'paperwork', 'employee', 'travel']","[-7.541456835344434, -135.16232511401176, -127.40994638204575, -23.026667274534702]",1
160,"['wall', 'street', 'give', 'adam', 'neumann', '500', 'million', 'go', 'pay', 'back', 'reworks', 'po', 'now', 'offering', 'pull', 'bank', 'scramble', 'hammer', 'solution']","[6.089942658320069, -160.8005834519863, -148.46408545970917, -2.184636503458023]",2
161,"['postbank', 'reportedly', 'end', 'rework', 'ownership', 'debacle', 'potential', '1', '7', 'billion', 'windfall', 'adam', 'neumann', 'techcrunch']","[-6.303347630426288, -143.01474307477474, -130.52555951476097, -2.7596213333308697]",2
162,"['just', 'in', 'rework', 'plan', 'list', 'nasdaq', 'the', 'company', 'also', 'say', 'want', 'make', 'change', 'propose', 'governance', 'structure', 'name', 'lead', 'independent', 'director', 'end', 'year']","[-15.177423391491175, -215.24269814789295, -183.36659741401672, -13.365906316787004]",2
163,"['rework', 'po', 'spell', 'rough', 'land', 'ceo', 'neumann', 'reuters']","[-5.107327690348029, -68.10754325985909, -63.380584478378296, -11.974627654999495]",1
164,"['pod', 'quote', 'day', 'anytime', 'say', 'back', 'napkin', 'legit', 'so', 'note', 'shelby', 'music', 'row']","[-0.9520605988800526, -111.16524244844913, -93.91498935222626, -4.685960911214352]",2
165,"['listen', 'live', 'james', 'max', 'ttp', 'talkradio', 'co', 'uk', 'live', 'our', 'currency', 'round', 'loose', 'change', 'rework', 'multibilliondollar', 'postbank', 'rescue', 'ways', 'help', 'sandwich', 'generation']","[-8.58670062571764, -222.82809548079967, -191.35775458812714, -13.377529572695494]",2
166,"['rework', 'slash', 'valuation', 'half', '47', 'billion', 'little', '20', 'billion', 'makes', 'wonder', 'possibly', 'justified', 'former', 'true', 'price', 'floor', 'willing', 'settle', 'latter']","[8.802586104720831, -186.50153313577175, -169.185706615448, -1.259691659361124]",1
167,"['primo', 'verne', 'en', 'rework']","[-3.841388151049614, -27.01512172818184, -30.94429039955139, -10.092600848525763]",2
168,"['postbank', 'ceo', 'say', 'rescue', 'investment', 'rework', 'debacle']","[-6.732821566984057, -68.93443478643894, -64.0731989145279, -8.360546723008156]",1
169,"['firing', 'adam', 'neumann', 'solve', 'rework', 'their', 'entire', 'business', 'model', 'ponti', 'scheme']","[-7.413442727178335, -111.91740483045578, -95.64197587966919, -4.88259594142437]",1
170,"['congrats', 'welcome', 'nec', 'see', 'next', 'week']","[-6.741731084883213, -48.24889197945595, -48.599472522735596, -8.11540960893035]",2
171,"['despite', 'trouble', 'share', 'flex', 'office', 'stay']","[-1.8213230203837156, -57.66455061733723, -49.94558948278427, -4.787813801318407]",1
172,"['rework', 'loses', 'chief', 'communication', 'officer', 'ahead', 'plan', 'po']","[-5.480479938909411, -81.90798136591911, -70.35042750835419, -8.193970423191786]",2
173,"['rework', 'pull', 'public', 'offering', 'fairish', 'pewter']","[-3.9049724712967873, -53.61370265483856, -54.58787024021149, -7.440944116562605]",2
174,"['who', 'loses', 'po', 'implosion']","[0.1240437850356102, -32.67130498588085, -30.225553274154663, -4.589467417448759]",1
175,"['chicagobars', 'rework', 'say', 'hi', 'teddy']","[-2.63632495328784, -43.42563557624817, -41.66948527097702, -7.162986628711224]",2
176,"['this', 'stretch', 'only', 'small', 'handful', 'rest', 'exposure', 'rework', 'minimal']","[-3.149653187021613, -87.69635537266731, -77.56811958551407, -4.931613929569721]",2
177,"['rework', 'downgraded', 'ccc', 'fitch', 'following', 'po', 'withdrawal', 'rework', 'weighs', 'fullback', 'in', 'china', 'dj', 'says', 'is', 'code', 'filing', 'bankruptcy']","[-9.209008868783712, -158.5300109833479, -153.19337499141693, -10.717589441686869]",1
178,"['funny', 'timing', 'search', 'could', 'name', 'manufacturer', 'anywhere', 'one', 'receive', 'negative', 'press']","[-11.865810630843043, -123.49774281680584, -102.44187796115875, -3.835266761481762]",2
179,"['reworks', 'fall', 'lose', 'nearly', '40', 'billion', 'value', 'mark', 'stun', 'collapse', 'little', 'precedent', 'malta', 'de', 'transparency', 'el', 'emperor', 'queen', 'sin', 'rope', 'arena', 'tuva', 'que', 'presenter', 'el', 's1', 'por', 'eso', 'hay', 'que', 'ver', 'mr', 'del', 'humo', 'y', 'se', 'suede']","[0.09206627309322357, -308.13988457620144, -271.4604349434376, -22.715462423861027]",1
180,"['rework', 'po', 'spell', 'rough', 'land', 'ceo', 'neumann', 'top']","[-3.2840875666588545, -64.15484777092934, -59.21849465370178, -10.093566965311766]",1
181,"['we', 'approach', 'landlord', 'owner', 'building', 'want', 'work', 'asset', 'turn', 'away', 'rework', 'toward', 'company', 'sustainable', 'business', 'model', 'worker', 'ceo', 'sarah', 'travers', 'say']","[-16.567071733996272, -190.23424443602562, -182.95074838399887, -23.793996520340443]",1
182,"['rework', 'tough', 'sunday', 'business', 'post', 'via']","[-2.2543885465711355, -54.98248189687729, -49.29088979959488, -5.35956122353673]",3
183,"['digitalchamber', 'rework', 'prof', 'venture', 'capitalism', 'work']","[-6.096851399168372, -64.02051727473736, -62.24876815080643, -8.84093203023076]",3
184,"['new', 'top', 'story', 'hacker', 'news', 'the', 'rework', 'story', 'bizarre', 'even', 'get', 'outrage']","[-8.235472783446312, -90.06700663268566, -93.2701963186264, -23.55798852816224]",2
185,"['rework', 'rt', 'genuine', 'accountability', 'unfashionable', 'right']","[-6.39380868524313, -76.23021844029427, -64.21915543079376, -1.9803801961243153]",1
186,"['rework', 'reportedly', 'getting', 'into', 'sport', 'play', 'by', 'we', 'which', 'could', 'rent', 'its', 'office', 'space', 'professional', 'gaming', 'events']","[-8.157177913933992, -157.43064004182816, -141.79090636968613, -12.074866250157356]",2
187,"['top', 'story', 'pwillemarck', 'some', 'rework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'w', 'see']","[-8.263523120433092, -115.32160753011703, -111.36656045913696, -20.609983574599028]",2
188,"['rework', 'say', 'divest', ""'noncore'"", 'business']","[-2.907385079190135, -47.85327035188675, -46.658041059970856, -5.730908416211605]",2
189,"['still', 'wait', 'pay', 'u', 'invoice', '2', 'year', 'ago', 'yet', 'continue', 'collect', 'rent', 'u', 'get', '1', 'point', 'something', 'billion', 'dollar', 'payout']","[2.8882547337561846, -177.61356408894062, -145.85233888030052, -0.7386262975633144]",1
190,"['attention', 'young', 'professional', ""don't"", 'miss', 'opportunity', 'network', 'business', 'professional', 'month', 'free', 'upcoming', 'chamber', 'connection', 'rework', 'register']","[-13.466123772785068, -192.8967191129923, -165.58795446157455, -13.627000499516726]",2
191,"['the', 'rework', 'security', 'always', 'look', 'homeless', 'person', 'walk', 'dev', 'square', 'maybe', 'i', 'need', 'bounce', 'gym', 'clothes']","[-4.218557883054018, -137.53090250492096, -126.16654706001282, -17.402992893010378]",1
192,"['watch', 'alistair', 'elliott', 'senior', 'partner', 'group', 'chairman', 'speak', 'uk']","[-6.689193420112133, -91.75004459917545, -79.81741112470627, -8.876782454550266]",2
193,"['looks', 'great', 'would', 'happy', 'host']","[0.09008750505745411, -39.8919897377491, -37.88506758213043, -8.571840539574623]",2
194,"['rework', 'ceo', 'steps', 'down', 'as', 'company', 'reportedly', 'considers', 'layoffs', 'crunchbase', 'news']","[-9.649729857221246, -104.85613304376602, -99.79377281665802, -13.309929199516773]",2
195,"['run', 'ponti', 'scheme']","[-3.054172322154045, -26.50182770192623, -23.709940195083618, -2.1655470356345177]",1
196,"['vcs', 'complicit', 'pump', 'n', 'dump', 'crime']","[-2.823956025764346, -52.34224872291088, -44.43975627422333, 3.3688717149198055]",1
197,"['what', 'happens', 'rework', 'run', 'cash']","[-5.685058407485485, -36.35108956694603, -40.470066010951996, -8.90781382471323]",2
198,"['rework', 'look', 'sell', 'spin', 'acquisition', 'include', 'firm', 'conductor']","[-3.7906395383179188, -83.70685632526875, -71.56490391492844, -5.479910079389811]",2
199,"['if', 'wake', 'casper', 'mattress', 'work', 'peloton', 'breakfast', 'user', 'desk', 'rework', 'doordash', 'lunch', 'take', 'left', 'home', 'get', 'dinner', 'postulate', 'interact', 'seven', 'company', 'collectively', 'lose', 'nearly', '14', 'billion', 'year']","[-7.041338466107845, -255.43916489183903, -228.77083525061607, -25.53548141568899]",1
200,"['huge', 'breaking', 'news', 'report', 'rework', 'actually', 'head', 'compete', 'air', 'whole', 'time', 'home', 'share', 'company', 'what', 'scoop', 'seriously', 'copy', 'edit', 'thing', 'mistake', 'first', 'sentence']","[-13.447828698903322, -218.23990765213966, -193.75497496128082, -24.23814007639885]",2
201,"['we', 'thrill', 'host', 'important', 'workshop', 'hq', '2', 'day', 'personal', 'safety', 'training', 'workshop', 'non', 'binary', 'officially', 'underway']","[-2.769588027149439, -149.4026658385992, -137.16638576984406, -10.656519036740065]",2
202,"['well', 'i', 'know', 'would', 'i', 'would', 'zia', 'home', 'alone', 'x']","[0.07107633724808693, -64.53032687306404, -63.66839039325714, -8.417785245925188]",2
203,"['rework', 'accepts', 'postbank', 'takeover', 'offer']","[-5.31163315474987, -46.23391941189766, -48.56578475236893, -14.80069064348936]",2
204,"['postbank', 'value', 'rework', 'below', '8', 'billion', 'mark', 'financial', 'rescue', 'plan', 'after', 'funding', 'rework', '47', 'billion', 'valuation', 'january', 'postbank', 'set', 'rescue', 'office', 'share', 'company', 'financing', 'plan', 'value', 'company', '8']","[-5.138576848432422, -277.30713242292404, -239.14182657003403, -1.0808111913502216]",2
205,"['hmmm', 'rework', 'bay', 'wells', 'fargo', '2019', 'see', 'mass', 'exodus', 'ceos', 'us']","[10.339181007817388, -72.29398441314697, -77.25850543379784, -6.1347857266664505]",2
206,"['rework', 'look', 'sell', 'spin', 'acquisition', 'include', 'firm', 'conductor']","[-3.7906395383179188, -83.70685632526875, -71.56490391492844, -5.479910079389811]",2
207,"['given', 'information', 'investor', 'line', 'participate', 'say', 'capital', 'market']","[-6.182211935520172, -99.03916916251183, -77.92134791612625, 0.8151804469525814]",2
208,"['rework', 'parent', 'company', 'reportedly', 'delay', 'idiotic', 'po', 'plan']","[-4.718681776896119, -79.14924463629723, -70.14327293634415, -10.311321761459112]",1
209,"['platform', 'curated', 'tweet', 'short', 'seller', 'snap', 'rework', 'debt', 'amid', 'concern', 'future']","[-10.629983277991414, -101.51534563302994, -96.00073301792145, -14.290715895593166]",1
210,"['thus', 'tale', 'company', 'call', ""could've"", 'great', 'another', 'clown', 'many', 'pipe', 'hate', 'many', 'lesson', 'learn', 'keep', 'company', 'trouble', 'what', 'take', 'away', 'make', 'sure', 'pop', 'bubble']","[-7.682550152763724, -217.0312476158142, -189.11178314685822, -11.815944653004408]",1
211,"['1', '2', 'wholeheartedly', 'disagree', 'fast', 'company', 'piece', 'genius', 'refer', 'reworks', 'ceo', 'leon', 'mush', 'co', 'genius', 'always', 'exist', 'it', 'specific', 'startup', 'culture', 'darwin', 'alexander', 'von', 'humboldt', 'seneca', 'visionary', 'push', 'culture', 'forward']","[-12.621615026146173, -295.2482328414917, -257.96868881583214, -16.517456751316786]",1
212,"['rework', 'darling', 'startup', 'world', 'long', 'ago', 'entire', 'company', 'image', 'gutter', 'every', 'article', 'since', 'announce', 'intention', 'go', 'public', 'negative', 'you', 'say', 'caught', 'musk']","[-11.869919944554567, -226.32252691686153, -186.4440388083458, -8.471627417951822]",1
213,"['rework', 'expect', 'sack', 'least', '2', '000', 'people', 'soon', 'week', 'angry', 'staff', 'troubled', 'office', 'rental', 'company', 'turn', 'co-founder', 'adam', 'neumann']","[4.018461657688022, -167.08711418509483, -155.94365507364273, -12.075294822454453]",1
214,"['rework', 'weighs', 'slashing', 'valuation', 'more', 'than', 'half', 'amid', 'po', 'skepticism', 'ok', 'overvalue', '50', '100']","[15.499135168269277, -114.35054844617844, -110.46965196728706, -3.2537129633128643]",1
215,"['ceos', 'exit', 'record', 'pace', 'rework', 'jul', 'bay', 'boss', 'last', '24', 'hour']","[1.7430082652717829, -76.43780824542046, -76.54572284221649, -12.181248150765896]",2
216,"['kaiser', 'report', 'rework', 'never', 'forget', ' 1443', 'via']","[3.045715406537056, -47.52220405638218, -56.8497249186039, -13.700045894831419]",2
217,"['reworks', 'startup', 'party', 'end', '2', '000', 'job', 'set', 'cut']","[11.039534145966172, -51.78224676847458, -61.722977340221405, -4.824891157448292]",1
218,"['rework', 'rein', 'ceo', 'adam', 'neumann', 'save', 'po', 'axis']","[-5.022384559735656, -66.91822215914726, -59.096917152404785, -7.734717730432749]",1
219,"['start', 'pool', 'po', 'come', 'first', 'franco', 'rework']","[-3.9077606350183487, -53.480699092149734, -53.338101387023926, -13.705414272844791]",2
220,"['after', 'po', 'debacle', 'i', 'miss', 'something', 'start', 'spending', 'via']","[-3.2187775932252407, -85.36005486547947, -70.64699012041092, 1.2760629206895828]",1
221,"['rework', 'weighs', 'slashing', 'valuation', 'more', 'than', 'half']","[-3.0245590582489967, -67.37984070181847, -61.13362503051758, -5.015118822455406]",1
222,"['how', 'reworks', 'adam', 'neumann', 'became', 'billionaire', 'the', 'atlantic']","[-7.839028974995017, -84.84446015954018, -73.70669507980347, -2.25373749807477]",2
223,"['yu', 'professor', 'scott', 'galloway', 'say', 'era', 'start-ups', 'grow', 'cost', 'come', 'close', 'mean', 'user', 'likely', 'go', 'change', 'business', 'model']","[-4.445440394803882, -164.83481234312057, -142.60406267642975, -14.187736492604017]",2
224,"['rework', 'is', 'exposing', 'astronomical', 'amount', 'data', 'poorly', 'protected', 'wife', 'network']","[-8.043520879000425, -100.96703197062016, -93.04110890626907, -16.80186777934432]",1
225,"['rework', 'latest', 'threat', 'oldschool', 'landlords', 'trying', 'copy', 'rework']","[-4.097492406144738, -76.1375118046999, -74.2111064195633, -16.210332859307528]",2
226,"['business', 'insider', 'make', 'documentary', 'unravel', 'world', 'valuable', 'startup', 'hit', 'netflix', 'producer', 'business', 'insider']","[-8.84984546713531, -152.42869013547897, -126.64713937044144, 0.9021088778972626]",3
227,"['yep', 'rework', 'po', 'failure', 'fallout']","[-1.111870564520359, -41.327659875154495, -39.35374188423157, -9.809627577662468]",1
228,"['when', 'postbank', 'bail', 'rework', 'day', 'week', 'ago', 'st', 'thing', 'come', 'mind', 'postbank', 'somehow', 'sell', 'business', 'asset', 'regis', 'something', 'i', 'dunno']","[-6.1466444078832865, -174.64784018695354, -157.71723729372025, -10.734572853893042]",2
229,"['tequila', 'private', 'jet', 'fundic', 'adam', 'neumann', 'built', 'rework', 'unique', 'way', 'struggle', 'translate', 'success', 'po', 'my', 'drunken', 'pot', 'fine', 'meat', 'building', 'dismissive', 'offense', 'a', 'primary', 'diet', 'tequila', 'mj']","[-9.753442358225584, -276.1704128533602, -224.0457747578621, 3.699333630502224]",1
230,"['daily', 'crunch', 'rework', 'ceo', 'face', 'investor', 'pressure']","[-6.991428313776851, -64.98488989472389, -61.42275142669678, -11.701710410416126]",2
231,"['the', 'remarkable', 'rise', 'epic', 'fall', 'rework', 'charismatic', 'controversial', 'founder']","[-8.094458607956767, -97.21976260840893, -88.02961754798889, -11.950279399752617]",2
232,"['the', 'petty', 'rework', 'get', 'cancel', 'reject', 'without', 'interview']","[-9.476014763116837, -70.19082960486412, -70.56216049194336, -12.38571086153388]",1
233,"['i', 'tell', 'long', 'hypothesize', 'work', 'recession', 'proof', 'exact', 'reason', 'mention', 'problem', 'never', 'test']","[-5.8268968090415, -121.98855847120285, -109.48640257120132, -14.677735105156898]",2
234,"['rework', 'work', 'business', 'value', '47', 'billion', 'expect', 'announce', 'significant', 'layoff', 'month', 'bloomberg', 'report', 'this', 'follow', 'report', 'company', 'look', 'slash', 'many', '5', '000', 'role', 'one-third', 'workforce']","[11.05656754411757, -223.21544264256954, -213.21480160951614, -15.470961384475231]",2
235,"['the', 'tokyo', 'conglomerate', 'reworks', 'big', 'investor', 'spending', 'billion', 'deal']","[-2.670738022774458, -92.87916035950184, -81.55243182182312, -7.44134609401226]",2
236,"['this', 'good', 'metaphor', 'entire', 'rework', 'situation']","[-4.908586433157325, -60.929605931043625, -54.55114537477493, -11.628230948001146]",2
237,"['former', 'employee', 'rework', 'share', 'story', 'adam', 'neumann', 'run', 'around', 'barefoot', 'yell', 'employee', 'demand', 'case', 'tequila']","[-7.8714335188269615, -153.8987870812416, -129.95027816295624, -17.304298520088196]",1
238,"['saudi', 'mbs', 'interested', 'takeover', 'looks', 'like', 'postbank', 'look', 'old', 'trafford', 'new', 'space', 'game']","[-2.436255492269993, -119.25481328368187, -106.22653156518936, -16.964102387428284]",2
239,"['literally', 'every', 'single', 'day', 'life', 'i', 'work', 'rework', 'office']","[-0.5666515063494444, -73.98147232830524, -69.65025001764297, -10.973617434501648]",1
240,"['new', 'post', 'rework', 'withdraws', 's1', 'filing', 'delay', 'po', 'techcrunch', 'publish', 'tech', 'news', '247']","[0.44447018578648567, -95.66722339391708, -103.91178861260414, -5.028777897357941]",2
241,"['postbank', 'backers', 'rethink', 'role', 'next', 'vision', 'fund', 'rework']","[-4.434643326327205, -70.85858862102032, -69.25969213247299, -11.928256999701262]",2
242,"['rework', 'board', 'accepts', 'postbank', 'rescue', 'deal', 'source', 'reuters']","[-9.193249318748713, -75.87618459761143, -73.46068918704987, -16.72921810671687]",2
243,"['what', 'next', 'rework', 'how', 'adam', 'neumann', 'fix', 'bungle', 'po']","[-5.071822872385383, -69.05807411670685, -67.25195854902267, -6.589868634939194]",2
244,"['rework', 'downgrade', 'fitch', 'po', 'trouble']","[-4.394675310701132, -40.61641901731491, -44.13569414615631, -11.41494532674551]",2
245,"['stop', 'rework', 'deal', 'cramer', 'say', 'embattle', 'could', 'wreck', 'stock', 'market', 'rally', 'nbc']","[-6.172265026718378, -98.64016531407833, -96.0846032500267, -15.604849886149168]",2
246,"['rework', 'po', 'filing', 'withdrawn', 'roadshow', 'leads', 'dead', 'end', 'rework', 'throw', 'towel', 'acknowledge', 'many', 'street', 'already', 'predict', 'rework', 'work', 'at', 'least', 'right', 'the', 'highlyscrutinized', 'work', 'company', 'announce', 'mond']","[-20.36509251780808, -245.47966440021992, -239.5091667175293, -40.01257335394621]",1
247,"['i', 'checked', 'connect', 'room', 'fill', 'socially', 'creative', 'mind', 'socialleadership']","[-4.525664517655969, -105.02814421057701, -83.93834489583969, -0.5142817348241806]",3
248,"['me', 'to', 'rework', 'eats']","[-2.731005974113941, -24.169387191534042, -27.03543186187744, -9.994674552232027]",2
249,"['reworks', 'neumann', 'step', 'ceo', 'give', 'control']","[-5.40854112803936, -54.033125549554825, -50.54021668434143, -8.159118589013815]",2
250,"['they', 'kind', 'lie', 'they', 'try', 'make', 'rework', 'look', 'like', 'tech', 'company', 'still', 'actually', 'real', 'state', 'company']","[-1.1321164052933455, -141.80278012156487, -121.64757865667343, -14.277726028114557]",1
251,"['postbank', 'share', 'fall', 'rework', 'deal', 'add', 'financial', 'strain']","[-4.112792836502194, -78.18687258660793, -68.63101142644882, -3.7231863997876644]",1
252,"['rework', 'prof', 'venture', 'capitalism', 'work']","[-5.023881644010544, -42.80945248901844, -46.160210371017456, -11.929975837469101]",3
253,"['rework', 'delay', 'po', 'focus', 'core', 'business']","[-3.1060788314789534, -49.83035546541214, -47.80755913257599, -9.978693049401045]",2
254,"['my', 'answer', 'why', 'postbank', 'want', 'rework', 'po']","[-5.400914162397385, -44.560010239481926, -53.624038994312286, -11.882230952382088]",2
255,"['new', 'story', 'rework', 'ceo', 'steps', 'down', 'as', 'po', 'stalls']","[-4.385707011446357, -60.97798803448677, -64.22622126340866, -13.322708368301392]",2
256,"['yes', 'diversification', 'ignores', 'clear', 'commonality', 'these', 'junky', 'credit', 'if', 'would', 'borrowing', 'clo', 'market', 'this', 'rework', 'failure', 'noteworthy', 'they', 'exit', 'private', 'equity', 'junk', 'get', 'close', 'the', 'pipeline', 'nowhere', 'go']","[-11.813918190076947, -275.1520167142153, -241.57947862148285, -27.27689167484641]",2
257,"['rework', 'thermos', 'scandals', 'haunt', 'female', 'startup', 'ceos']","[-6.524278035387397, -71.08903709053993, -63.950672805309296, -8.577273979783058]",1
258,"['rework', 'could', 'run', 'cash', 'mid-november', 'here', 'would', 'happen', 'next']","[-6.719223709776998, -79.35032618045807, -76.1758908033371, -10.874048888683319]",1
259,"['τεχνολογία', 'reworks', 'new', 'chairman', 'defends', 'payouts', 'founder', 'say', 'company', 'survive']","[-2.9447057265788317, -95.5349448453635, -94.89102870225906, -9.534835241734982]",3
260,"['the', 'documentary', 'war', 'plastic', 'screen', 'collaboration', 'zero', 'waste', 'london', 'shock', 'really', 'get', 'think', 'ibm', 'way', 'make', 'bathroom', 'interested', 'find', 'process', 'recycle']","[-12.887314468622208, -207.94909462332726, -184.4229635000229, -17.478947669267654]",2
261,"['new', 'best', 'story', 'hacker', 'news', 'today', 'some', 'rework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo']","[-10.043519215658307, -124.06892946362495, -118.97416305541992, -21.41653772443533]",1
262,"['our', 'history', 'rework', 'building', 'allows', 'team', 'member', 'open', 'office', 'work', '3', 'different', 'common', 'area', 'plenty', 'phone', 'booth', 'book', 'meeting', 'room', 'we', 'really', 'appreciate', 'flexibility', 'access', 'private', 'space', 'take', 'call', 'get', 'work', 'do']","[-10.08158409781754, -289.83678805828094, -261.39562660455704, -31.38555383309722]",3
263,"['rework', 'might', 'be', 'a', 'zombie', 'unicorn', 'postbank', 'should', 'probably', 'let', 'dead']","[-1.8226861003786325, -95.31718449294567, -87.50946080684662, -7.409223549067974]",1
264,"['bbc-b', 'update', 'postbank', 'report', 'first', 'quarterly', 'loss', '14', 'year', 'the', 'bos', 'postbank', 'masayoshi', 'son', 'admit', 'poor', 'judgement', 'relation', 'investment', 'rework', 'reporting', 'first', 'quarterly', 'loss', '14', 'year', 'we', 'get', 'susan', 'sc']","[-0.6209319476038218, -270.1987425684929, -246.58731162548065, -17.192358281463385]",1
265,"['going', 'take', 'lot', 'temporary', 'stop', 'account', 'dude', 'eee-eee']","[-5.201480466872454, -80.03209999203682, -66.48447960615158, -12.529906872659922]",2
266,"['could', 'possibly', 'pre', 'money', 'thats', 'like', '33', 'article', 'like', 'big', 'number', 'must', 'post', 'money', ""you'se"", '100', 'right', 'need', 'specify']","[14.506400968879461, -157.14943830668926, -142.27725610136986, -0.972757950425148]",2
267,"['rework', 'long', 'road', 'rehabilitation', 'start', 'ditch', 'co-founder']","[-5.99668556638062, -76.57171136140823, -68.12133520841599, -10.066030256450176]",2
268,"['reworks', 'adam', 'neumann', 'offer', 'package', 'worth', '1', '7', 'billion', 'step', 'board', 'ridiculous', 'must', 'worth', 'postbank', 'get', 'rid', 'neumann']","[-4.401530236005783, -158.98152247071266, -145.91701075434685, -10.896467972546816]",2
269,"['is', 'next', 'rework']","[-2.309763751924038, -17.78002855181694, -21.760788083076477, -6.898435957729816]",2
270,"['rework', 'cut', '4', '000', 'job', 'payroll', 'strategy', 'business']","[12.557334132492542, -53.21942213177681, -61.04667127132416, -1.8861657120287418]",1
271,"['rework', 'launch', 'po', 'roadshow', 'soon', 'tuesday', 'source']","[-5.079665195196867, -62.96896484494209, -59.644706070423126, -15.637667402625084]",2
